epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,8668.15,0.57818,0.92463,0.5589,1.0639,0.93273,0.49282,0.52942,0.44708,0.93236,0.49138,0.52967,0.44787,0.58142,0.86094,0.51735,1.00556,0.0005645,0.0005645,0.0005645
31,8958.62,0.5146,0.8531,0.45186,1.06967,0.93092,0.48348,0.53287,0.45631,0.90788,0.48635,0.53637,0.45417,0.55436,0.89768,0.46985,0.9753,0.000515,0.000515,0.000515
32,9220.24,0.48693,0.78776,0.42617,1.04351,0.91246,0.48672,0.53831,0.46564,0.91233,0.48593,0.54049,0.46227,0.53334,0.89448,0.46431,0.96651,0.0004655,0.0004655,0.0004655
33,9485.61,0.47624,0.77496,0.40959,1.03621,0.87337,0.5,0.5332,0.46977,0.87144,0.50157,0.53613,0.45931,0.51004,0.87266,0.4546,0.94299,0.000416,0.000416,0.000416
34,9753,0.45751,0.75362,0.39504,1.0165,0.86217,0.50359,0.54182,0.4737,0.91627,0.48779,0.54142,0.46676,0.49468,0.85441,0.43376,0.92958,0.0003665,0.0003665,0.0003665
35,10017.6,0.44499,0.7471,0.37883,1.00809,0.91777,0.49353,0.54373,0.4736,0.91376,0.49138,0.54198,0.4687,0.50639,0.82998,0.4486,0.93284,0.000317,0.000317,0.000317
36,10289.6,0.43837,0.71225,0.36334,1.00824,0.9127,0.49567,0.54877,0.48169,0.90862,0.49286,0.54763,0.47647,0.49479,0.8316,0.43286,0.92863,0.0002675,0.0002675,0.0002675
37,10556.3,0.42329,0.70764,0.35224,0.99579,0.91507,0.49535,0.54468,0.47908,0.89886,0.49856,0.54615,0.47023,0.48672,0.84086,0.42308,0.91247,0.000218,0.000218,0.000218
38,10821.8,0.40972,0.68914,0.33994,0.98216,0.9186,0.48779,0.54748,0.48602,0.93675,0.4842,0.54811,0.4746,0.46979,0.85313,0.41151,0.90778,0.0001685,0.0001685,0.0001685
39,11080.1,0.4004,0.6743,0.3326,0.97739,0.90477,0.49823,0.55135,0.48946,0.90831,0.49856,0.55209,0.47919,0.46884,0.8422,0.40751,0.90763,0.000119,0.000119,0.000119
40,11362,0.38868,0.66185,0.31725,0.96746,0.9167,0.49805,0.55146,0.49232,0.91405,0.49662,0.55271,0.4828,0.46005,0.81396,0.40114,0.89853,6.95e-05,6.95e-05,6.95e-05
